STD_NR	STD_name	EW_2004	EW_2005	EW_2006	EW_2007	EW_2008	EW_2009	EW_2010	EW_2011	EW_2012	EW_2013	EW_2014	EW_2015	EW_2016	EW_2017	JQ_2004	JQ_2005	JQ_2006	JQ_2007	JQ_2008	JQ_2009	JQ_2010	JQ_2011	JQ_2012	JQ_2013	JQ_2014	JQ_2015	JQ_2016	JQ_2017	ZUZ_2004	ZUZ_2006	ZUZ_2007	ZUZ_2008	ZUZ_2009	ZUZ_2010	ZUZ_2011	ZUZ_2012	ZUZ_2013	ZUZ_2014	ZUZ_2015	ZUZ_2016	ZUZ_2017	ZUZ_2000_2017	WEG_2004	WEG_2006	WEG_2007	WEG_2008	WEG_2009	WEG_2010	WEG_2011	WEG_2012	WEG_2013	WEG_2014	WEG_2015	WEG_2016	WEG_2017	WEG_2000NA2017	WEG_WS	GEB_2004	GEB_2006	GEB_2007	GEB_2008	GEB_2009	GEB_2010	GEB_2011	GEB_2012	GEB_2013	GEB_2014	GEB_2015	GEB_2016	GEB_2017	GEB_2000NA2017	SF_2004	SF_2006	SF_2007	SF_2008	SF_2009	SF_2010	SF_2011	SF_2012	SF_2013	SF_2014	SF_2015	SF_2016	SF_2017	SF_2000_2016	SF_NS_2000_20017	MBEV_2004	MBEV_2005	MBEV_2006	MBEV_2007	MBEV_2008	MBEV_2009	MBEV_2010	MBEV_2011	MBEV_2012	MBEV_2013	MBEV_2014	MBEV_2015	MBEV_2016	MBEV_2017	WBEV_2004	WBEV_2005	WBEV_2006	WBEV_2007	WBEV_2008	WBEV_2009	WBEV_2010	WBEV_2011	WBEV_2012	WBEV_2013	WBEV_2014	WBEV_2015	WBEV_2016	WBEV_2017	ABEV_2004	ABEV_2005	ABEV_2006	ABEV_2007	ABEV_2008	ABEV_2009	ABEV_2010	ABEV_2011	ABEV_2012	ABEV_2013	ABEV_2014	ABEV_2015	ABEV_2016	ABEV_2017	AQ_2004	AQ_2005	AQ_2006	AQ_2007	AQ_2008	AQ_2009	AQ_2010	AQ_2011	AQ_2012	AQ_2013	AQ_2014	AQ_2015	AQ_2016	AQ_2017	BV_2004	BV_2005	BV_2006	BV_2007	BV_2008	BV_2009	BV_2010	BV_2011	BV_2012	BV_2013	BV_2014	BV_2015	BV_2016	BV_2017	DA_2004	DA_2005	DA_2006	DA_2007	DA_2008	DA_2009	DA_2010	DA_2011	DA_2012	DA_2013	DA_2014	DA_2015	DA_2016	DA_2017
1	Altstadt	12786	13580	13892	14140	14532	14863	14982	15263	15526	15620	15874	16060	16098	16195	16,6	15,4	15,1	14,9	15	14,3	14,8	15,7	14,9	14,6	14,9	15	15,8	16,6	783	885	945	1080	1182	1124	1161	1144	1149	1329	1391	1339	1247	17517	673	747	817	1041	994	962	1048	1067	1102	1237	1252	1246	1233	13419	4098	79	98	98	117	132	122	138	120	140	130	145	167	160	1963	141	145	164	165	193	223	207	221	237	274	282	294	283	3441	-1478	5976	6379	6610	6737	6948	7156	7220	7350	7525	7581	7674	7878	7836	7874	6810	7201	7282	7403	7584	7707	7762	7913	8001	8039	8200	8182	8262	8321	1316	1404	1500	1575	1673	1723	1739	1707	1747	1815	1982	2241	2332	2502	56,7	53,1	52,7	52,8	52,1	51,8	50,5	49,5	48,4	47,9	48,7	47,6	47,1	47,4	3391,51	3602,12	3684,88	3750,66	3854,64	3942,44	3974,01	4048,54	4118,3	4144,34	4210,61	4259,95	4270	4295,8	48,8	47,5	47,2	47,3	47,1	47,2	47,1	46,9	47	46,6	46,9	46,6	46,39	46,34
2	Werder	2490	2594	2691	2663	2709	2759	2893	2964	3021	2986	3012	3055	3059	3036	15,2	13,3	13,5	12,6	12,2	13	13,9	14,1	13,9	14,6	15,4	16,5	17	17,3	120	146	161	201	177	168	204	191	148	183	184	180	216	2840	108	92	138	166	146	116	154	184	161	156	133	142	204	1900	940	20	26	18	26	27	31	28	33	30	38	31	31	31	462	14	19	25	26	27	45	56	64	55	58	58	65	55	640	-178	1217	1290	1339	1324	1338	1372	1438	1475	1498	1478	1505	1534	1547	1536	1273	1304	1352	1339	1371	1387	1455	1489	1523	1508	1507	1521	1512	1500	61	49	52	48	66	70	74	80	86	101	106	106	124	150	28,7	31,2	32,7	34,3	34,2	37	39,4	41,4	43,9	47,3	46,4	48	50,2	50,7	693,59	722,56	749,58	741,78	754,6	768,52	805,85	825,63	841,5	831,85	839	850,97	852,1	845,7	45,9	46,1	46,3	46,9	47	47,6	47,6	48,1	48,8	49	48,8	48,7	48,92	48,93
4	Alte Neustadt	9050	9183	9347	9534	9641	9794	10124	10321	10651	10727	10951	11451	11443	11425	17,3	15,6	14,2	12,9	12,8	12,1	12,1	12,2	12,3	12,9	13,6	14,7	15	14,9	823	959	1134	1123	1252	1252	1331	1261	1243	1405	1712	1482	1349	19363	747	808	813	983	1076	967	1051	1010	1166	1180	1239	1281	1313	13634	5729	73	68	69	83	75	64	91	78	84	109	114	124	94	1340	122	85	109	88	82	69	64	56	88	71	77	76	80	1494	-154	4388	4516	4603	4722	4817	4952	5184	5247	5466	5503	5639	5944	6025	6012	4662	4667	4744	4812	4824	4842	4940	5074	5185	5224	5312	5507	5418	5413	1308	1160	1213	1206	1027	1104	1136	1160	1282	1393	1489	1900	1943	2049	45,2	40,8	39,2	36,9	35,1	33,5	32	30,6	29,8	27,9	27	25,4	25,6	26	3521,4	3573,15	3636,96	3709,73	3751,36	3810,89	3939,3	4015,95	4144,36	4180,93	4261,09	4455,64	4452,5	4445,5	45,2	44	43,8	43,2	42,9	42,6	42,3	42,1	41,9	41,2	40,8	40	40,07	40,36
6	Neue Neustadt	13572	13566	13583	13631	13757	13684	13674	13765	13897	14189	14411	15086	15639	15724	20,1	18,7	17,6	17,5	17,4	17,2	17,2	17,9	18,8	19,6	20,3	21,9	24,1	25,6	615	631	601	638	598	690	776	777	830	961	1510	1916	2110	14838	573	477	587	563	594	566	667	615	716	736	846	1258	1968	10166	4672	103	109	112	131	100	113	121	142	128	122	158	190	166	2108	175	148	171	192	180	185	186	185	203	201	185	200	227	3100	-992	6533	6562	6570	6637	6700	6699	6686	6770	6839	6985	7144	7600	7997	8052	7039	7004	7013	6994	7057	6985	6988	6995	7058	7204	7267	7486	7642	7672	676	656	636	606	569	575	577	606	727	798	984	1673	2411	2660	34,8	35,5	36,5	36,5	37,4	37,7	37,1	36,4	36,3	35,2	34,3	32,4	31,5	32	2989,43	2988,11	2991,85	3002,42	3030,18	3014,1	3011,89	3031,94	3061,01	3126,57	3174,23	3322,91	3444,7	3463,4	45,2	45,3	45,5	45,6	45,6	45,9	45,9	45,9	45,9	44,9	44,7	43,7	42,84	42,67
8	Neustädter See	11902	11784	11829	11784	11557	11608	11568	11529	11448	11404	11294	11307	11613	11574	18,1	18,2	17,9	18,1	18,4	10,3	21	21,9	23,2	24,4	24,5	25,2	27,5	28,9	346	387	462	396	521	490	514	474	464	522	487	623	489	7290	361	352	399	430	431	450	442	416	394	449	380	378	446	5328	1962	55	54	50	68	60	69	62	69	67	62	70	89	85	1062	233	195	201	193	175	182	180	188	231	192	230	222	198	3532	-2470	5490	5467	5518	5546	5421	5469	5457	5463	5439	5416	5405	5436	5648	5655	6412	6317	6311	6238	6136	6139	6111	6066	6009	5988	5889	5871	5965	5919	242	245	273	302	283	313	321	396	410	466	562	730	1249	1428	42,7	44,6	46,5	48,9	52,6	42,2	56,2	57,4	60,4	63	65,1	66,2	64,8	66,2	2484,76	2460,13	2469,52	2460,13	2412,73	2423,38	2415,03	2406,89	2389,98	2380,35	2357,83	2360,54	2424,4	2416,3	49,5	49,3	49,2	49,4	49,8	50,1	49,8	49,8	50,1	49,7	50	50	49,14	49,13
10	Kannenstieg	6877	6735	6676	6594	6383	6363	6274	6157	6059	6014	6099	6220	6333	6134	18,1	18,2	17,5	17,2	17,5	18,2	18,8	19,4	20,3	21,8	24	26,9	29,3	30,4	260	159	190	131	197	159	193	163	145	209	329	326	189	3235	273	189	204	208	133	133	168	168	148	160	165	223	206	2378	857	48	44	51	43	46	44	39	31	46	50	54	48	52	795	103	141	120	121	130	122	117	118	112	107	141	101	135	1968	-1173	3165	3134	3122	3052	2942	2938	2911	2875	2828	2786	2838	2923	3003	2871	3712	3601	3554	3542	3441	3425	3363	3282	3231	3228	3261	3297	3330	3263	159	146	135	116	128	124	146	158	180	236	346	539	746	740	32,4	44,6	40,2	43,3	48,2	51,5	53,3	55,1	59,3	63,8	66	66	69	73,6	6032,46	5907,89	5856,14	5784,21	5599,12	5581,58	5503,51	5400,88	5314,91	5264,36	5350	5456,14	5555,3	5380,7	47,6	48,4	49	49,5	50,2	50,4	50,7	51,1	51,6	51,4	51	49,9	49,46	49,84
12	Neustädter Feld	9828	10011	9980	9946	9847	9683	9665	9656	9642	9675	9662	9655	9867	9830	17,7	17	16,6	16,1	15,9	15,7	16,4	17,5	18,1	18,6	19,6	20,9	22,5	24,6	258	276	269	280	252	268	328	295	300	295	319	365	319	4973	290	253	319	317	271	257	312	271	270	293	256	262	282	3653	1320	73	73	70	94	68	78	83	89	71	85	69	76	88	1326	96	149	137	149	135	159	155	134	148	161	158	147	159	2619	-1293	4798	4833	4827	4789	4755	4706	4689	4677	4683	4716	4709	4696	4867	4845	5030	5178	5153	5157	5092	4977	4976	4979	4959	4959	4953	4959	5000	4985	156	160	167	181	149	137	140	156	172	216	220	280	489	583	22,9	27,5	28,7	29,7	31,1	32,6	33,2	33,5	35,2	36,1	38,8	41,8	43,5	46,8	4841,38	4931,53	4916,26	4899,51	4850,74	4769,95	4761,08	4756,65	4749,75	4769,06	4759,61	4756,16	4860,6	4842,4	44,6	45,8	46	46,5	46,8	47,3	47,6	47,6	47,9	47,4	47,6	47,8	47,53	47,48
14	Sülzegrund	9		9	7	10	10	10	10	10	9	9	8	8	8			14,3																																		1																																				4	4	4		4	4	4	4		4	4	4	4		5	5	5		6	6	6	6		5	5	.	.	.																	14,3												2,67	.	2,67	2,08	2,97	2,97	2,97	2,97	2,97	2,67	2,67	2,37	2,4	2,4														
18	Nordwest	4547	4511	4522	4544	4609	4726	4744	4738	4761	4750	4744	4746	4625	4671	18,2	17,7	17,5	17,9	16,6	17,7	18,6	19,4	20,5	26,1	21,5	22,4	23,9	24,4	57	59	76	70	77	60	89	78	78	103	231	107	93	1447	90	71	74	77	93	54	96	84	90	77	147	131	67	1151	296	15	21	17	27	27	30	25	41	22	30	25	21	30	403	33	36	35	24	24	22	31	24	35	41	46	48	28	572	-169	2283	2258	2278	2272	2311	2346	2358	2364	2368	2371	2381	2388	2276	2298	2264	2253	2244	2272	2298	2380	2386	2374	2393	2379	2363	2358	2349	2373	14	13	10	21	21	21	26	23	35	42	73	122	43	67	24	25,9	27,8	29,2	30,4	32,8	33,9	34,4	36,1	37,5	39	40,4	44	45,5	1665,57	1652,38	1656,41	1664,47	1688,28	1731,14	1737,73	1735,53	1743,96	1740,56	1737,73	1738,46	1694,1	1711	45,1	45,8	46	46,3	46,9	47,2	47,5	47,9	48,3	48,3	48,4	48,5	49,15	49,18
20	Alt Olvenstedt	3945	4111	4262	4278	4199	4151	4103	4073	4034	4006	3974	3954	3938	3933	25,7	25,3	24,2	23,4	22,3	22	23	23	23,4	24,2	24,2	24	25,3	25,2	67	82	57	49	68	47	57	52	72	62	53	45	64	1049	48	63	72	96	64	90	93	84	76	79	68	68	63	964	85	20	26	23	28	26	30	25	21	16	22	26	31	21	387	33	26	18	21	21	24	19	24	22	21	21	27	37	438	-51	1941	2010	2088	2100	2061	2047	2033	2013	2005	2019	1983	1968	1963	1970	2004	2101	2174	2178	2138	2104	2070	2060	2029	1987	1991	1986	1975	1963	25	15	22	21	14	20	25	28	31	34	32	29	31	35	17,2	17,3	17,6	19,2	20	21,6	22,6	23,5	24,1	25,2	27,1	28,7	30,3	31,2	1232,81	1284,69	1331,88	1336,88	1312,19	1297,19	1282,19	1272,81	1260,63	1251,56	1241,88	1235,63	1230,6	1229,1	40,5	40,6	40,8	41,6	42,2	43	43,5	44,2	44,8	44,8	45,4	45,9	46,09	46,29
