Einwohner															
															
Stadtteilnummer	Stadtteilname	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
															
01	Altstadt	12786	13580	13892	14140	14532	14863	14982	15263	15526	15620	15874	16060	16098	16195
02	Werder	2490	2594	2691	2663	2709	2759	2893	2964	3021	2986	3012	3055	3059	3036
04	Alte Neustadt	9050	9183	9347	9534	9641	9794	10124	10321	10651	10727	10951	11451	11443	11425
06	Neue Neustadt	13572	13566	13583	13631	13757	13684	13674	13765	13897	14189	14411	15086	15639	15724
08	Neustädter See	11902	11784	11829	11784	11557	11608	11568	11529	11448	11404	11294	11307	11613	11574
10	Kannenstieg	6877	6735	6676	6594	6383	6363	6274	6157	6059	6014	6099	6220	6333	6134
12	Neustädter Feld	9828	10011	9980	9946	9847	9683	9665	9656	9642	9675	9662	9655	9867	9830
14	Sülzegrund	9		9	7	10	10	10	10	10	9	9	8	8	8
16	Großer Silberberg	-	-	-	-	-	-	-	-	-	-	-	-	-	-
18	Nordwest	4547	4511	4522	4544	4609	4726	4744	4738	4761	4750	4744	4746	4625	4671
20	Alt Olvenstedt	3945	4111	4262	4278	4199	4151	4103	4073	4034	4006	3974	3954	3938	3933
22	Neu Olvenstedt	14257	13488	12733	12017	11741	11345	10855	10700	10519	10486	10556	10858	11207	11521
24	Stadtfeld Ost	22225	22912	23506	23923	24170	24363	25180	25443	25558	25735	25764	25958	26116	26291
26	Stadtfeld West	14367	14528	14844	14833	14703	14849	15108	14982	14974	14955	14821	15004	14733	14729
28	Diesdorf	3418	3412	3448	3415	3387	3404	3431	3441	3438	3446	3483	3522	3539	3499
30	Sudenburg	16549	16800	16862	16979	17041	17196	17387	17435	17355	17583	17666	17631	18070	18302
32	Ottersleben	9795	9934	10017	10198	10226	10410	10442	10470	10515	10573	10542	10525	10583	10551
34	Lemsdorf	2050	2200	2209	2139	2137	2124	2191	2182	2142	2175	2188	2182	2188	2230
36	Leipziger Straße	13981	14449	14365	14375	14243	14289	14153	14209	14352	14608	14596	15147	15302	15242
38	Reform	14086	13715	13438	13224	12946	12662	12402	12327	12326	12242	12230	12049	12046	11934
40	Hopfengarten	4528	4663	4668	4658	4635	4656	4632	4611	4614	4604	4654	4773	4754	4723
42	Beyendorfer Grund	10	11	7	8	14	14	14	17	19	16	15	17	16	17
44	Buckau	4340	4362	4418	4488	4638	4642	4848	5058	5268	5511	5830	6100	6240	6376
46	Fermersleben	3108	3164	3345	3358	3367	3345	3314	3313	3391	3379	3367	3478	3588	3653
48	Salbke	3999	3970	3904	3942	3866	3936	3928	3925	3945	3966	3997	4146	4387	4337
50	Westerhüsen	3121	3139	3112	3089	3082	3015	3036	3036	3075	3131	3197	3213	3243	3300
52	Brückfeld	3019	3051	3073	3039	3041	2980	2991	2957	3033	2994	2995	2945	2991	2978
54	Berliner Chaussee	2134	2163	2211	2200	2174	2155	2149	2172	2174	2204	2229	2247	2311	2313
56	Cracau	8402	8515	8532	8514	8427	8495	8510	8425	8485	8278	8326	8335	8466	8446
58	Prester	1891	1914	1978	1992	2004	2069	2096	2149	2148	2141	2107	2107	2103	2129
60	Zipkeleben	14	15	15	16	21	25	30	34	35	35	36	40	94	148
62	Kreuzhorst	-	-	-	-	-	-	-	-	-	-	-	-	-	-
64	Herrenkrug	913	952	976	975	980	953	966	942	979	992	1013	1058	1249	1245
66	Rothensee	2727	2701	2681	2702	2738	2829	2884	2929	2868	2837	2834	2907	2752	2769
68	Industriehafen	47	51	36	53	51	38	40	34	45	42	40	110	184	137
70	Gewerbegebiet Nord	5		4	5	4	5	3	13	8	12	7	9	12	18
72	Barleber See	75	75	71	70	66	70	70	67	69	60	60	60	61	66
74	Pechau	582	571	558	569	571	564	565	564	554	546	552	539	540	530
76	Randau-Calenberge	575	562	551	549	549	539	542	533	549	555	553	540	537	547
78	Beyendorf-Sohlen	1232	1209	1213	1180	1167	1181	1175	1176	1173	1183	1170	1170	1199	1208
	Stadtteil unbekannt	154	163	125	-	-	-	-	-	-	-	-	-	-	-
	Magdeburg	226610	228775	229691	229631	229233	229794	230979	231620	232660	233669	234858	238212	241134	241769
