STD_NR;STD_name;EW_2004;EW_2005;EW_2006;EW_2007;EW_2008;EW_2009;EW_2010;EW_2011;EW_2012;EW_2013;EW_2014;EW_2015;EW_2016;EW_2017;JQ_2004;JQ_2005;JQ_2006;JQ_2007;JQ_2008;JQ_2009;JQ_2010;JQ_2011;JQ_2012;JQ_2013;JQ_2014;JQ_2015;JQ_2016;JQ_2017;MBEV_2004;MBEV_2005;MBEV_2006;MBEV_2007;MBEV_2008;MBEV_2009;MBEV_2010;MBEV_2011;MBEV_2012;MBEV_2013;MBEV_2014;MBEV_2015;MBEV_2016;MBEV_2017;WBEV_2004;WBEV_2005;WBEV_2006;WBEV_2007;WBEV_2008;WBEV_2009;WBEV_2010;WBEV_2011;WBEV_2012;WBEV_2013;WBEV_2014;WBEV_2015;WBEV_2016;WBEV_2017;ABEV_2004;ABEV_2005;ABEV_2006;ABEV_2007;ABEV_2008;ABEV_2009;ABEV_2010;ABEV_2011;ABEV_2012;ABEV_2013;ABEV_2014;ABEV_2015;ABEV_2016;ABEV_2017;AQ_2004;AQ_2005;AQ_2006;AQ_2007;AQ_2008;AQ_2009;AQ_2010;AQ_2011;AQ_2012;AQ_2013;AQ_2014;AQ_2015;AQ_2016;AQ_2017;DA_2004;DA_2005;DA_2006;DA_2007;DA_2008;DA_2009;DA_2010;DA_2011;DA_2012;DA_2013;DA_2014;DA_2015;DA_2016;DA_2017
1;Altstadt;12786;13580;13892;14140;14532;14863;14982;15263;15526;15620;15874;16060;16098;16195;16,6;15,4;15,1;14,9;15;14,3;14,8;15,7;14,9;14,6;14,9;15;15,8;16,6;5976;6379;6610;6737;6948;7156;7220;7350;7525;7581;7674;7878;7836;7874;6810;7201;7282;7403;7584;7707;7762;7913;8001;8039;8200;8182;8262;8321;1316;1404;1500;1575;1673;1723;1739;1707;1747;1815;1982;2241;2332;2502;56,7;53,1;52,7;52,8;52,1;51,8;50,5;49,5;48,4;47,9;48,7;47,6;47,1;47,4;48,8;47,5;47,2;47,3;47,1;47,2;47,1;46,9;47;46,6;46,9;46,6;46,39;46,34
2;Werder;2490;2594;2691;2663;2709;2759;2893;2964;3021;2986;3012;3055;3059;3036;15,2;13,3;13,5;12,6;12,2;13;13,9;14,1;13,9;14,6;15,4;16,5;17;17,3;1217;1290;1339;1324;1338;1372;1438;1475;1498;1478;1505;1534;1547;1536;1273;1304;1352;1339;1371;1387;1455;1489;1523;1508;1507;1521;1512;1500;61;49;52;48;66;70;74;80;86;101;106;106;124;150;28,7;31,2;32,7;34,3;34,2;37;39,4;41,4;43,9;47,3;46,4;48;50,2;50,7;45,9;46,1;46,3;46,9;47;47,6;47,6;48,1;48,8;49;48,8;48,7;48,92;48,93
4;Alte Neustadt;9050;9183;9347;9534;9641;9794;10124;10321;10651;10727;10951;11451;11443;11425;17,3;15,6;14,2;12,9;12,8;12,1;12,1;12,2;12,3;12,9;13,6;14,7;15;14,9;4388;4516;4603;4722;4817;4952;5184;5247;5466;5503;5639;5944;6025;6012;4662;4667;4744;4812;4824;4842;4940;5074;5185;5224;5312;5507;5418;5413;1308;1160;1213;1206;1027;1104;1136;1160;1282;1393;1489;1900;1943;2049;45,2;40,8;39,2;36,9;35,1;33,5;32;30,6;29,8;27,9;27;25,4;25,6;26;45,2;44;43,8;43,2;42,9;42,6;42,3;42,1;41,9;41,2;40,8;40;40,07;40,36
6;Neue Neustadt;13572;13566;13583;13631;13757;13684;13674;13765;13897;14189;14411;15086;15639;15724;20,1;18,7;17,6;17,5;17,4;17,2;17,2;17,9;18,8;19,6;20,3;21,9;24,1;25,6;6533;6562;6570;6637;6700;6699;6686;6770;6839;6985;7144;7600;7997;8052;7039;7004;7013;6994;7057;6985;6988;6995;7058;7204;7267;7486;7642;7672;676;656;636;606;569;575;577;606;727;798;984;1673;2411;2660;34,8;35,5;36,5;36,5;37,4;37,7;37,1;36,4;36,3;35,2;34,3;32,4;31,5;32;45,2;45,3;45,5;45,6;45,6;45,9;45,9;45,9;45,9;44,9;44,7;43,7;42,84;42,67
8;Neustädter See;11902;11784;11829;11784;11557;11608;11568;11529;11448;11404;11294;11307;11613;11574;18,1;18,2;17,9;18,1;18,4;10,3;21;21,9;23,2;24,4;24,5;25,2;27,5;28,9;5490;5467;5518;5546;5421;5469;5457;5463;5439;5416;5405;5436;5648;5655;6412;6317;6311;6238;6136;6139;6111;6066;6009;5988;5889;5871;5965;5919;242;245;273;302;283;313;321;396;410;466;562;730;1249;1428;42,7;44,6;46,5;48,9;52,6;42,2;56,2;57,4;60,4;63;65,1;66,2;64,8;66,2;49,5;49,3;49,2;49,4;49,8;50,1;49,8;49,8;50,1;49,7;50;50;49,14;49,13
10;Kannenstieg;6877;6735;6676;6594;6383;6363;6274;6157;6059;6014;6099;6220;6333;6134;18,1;18,2;17,5;17,2;17,5;18,2;18,8;19,4;20,3;21,8;24;26,9;29,3;30,4;3165;3134;3122;3052;2942;2938;2911;2875;2828;2786;2838;2923;3003;2871;3712;3601;3554;3542;3441;3425;3363;3282;3231;3228;3261;3297;3330;3263;159;146;135;116;128;124;146;158;180;236;346;539;746;740;32,4;44,6;40,2;43,3;48,2;51,5;53,3;55,1;59,3;63,8;66;66;69;73,6;47,6;48,4;49;49,5;50,2;50,4;50,7;51,1;51,6;51,4;51;49,9;49,46;49,84
12;Neustädter Feld;9828;10011;9980;9946;9847;9683;9665;9656;9642;9675;9662;9655;9867;9830;17,7;17;16,6;16,1;15,9;15,7;16,4;17,5;18,1;18,6;19,6;20,9;22,5;24,6;4798;4833;4827;4789;4755;4706;4689;4677;4683;4716;4709;4696;4867;4845;5030;5178;5153;5157;5092;4977;4976;4979;4959;4959;4953;4959;5000;4985;156;160;167;181;149;137;140;156;172;216;220;280;489;583;22,9;27,5;28,7;29,7;31,1;32,6;33,2;33,5;35,2;36,1;38,8;41,8;43,5;46,8;44,6;45,8;46;46,5;46,8;47,3;47,6;47,6;47,9;47,4;47,6;47,8;47,53;47,48
18;Nordwest;4547;4511;4522;4544;4609;4726;4744;4738;4761;4750;4744;4746;4625;4671;18,2;17,7;17,5;17,9;16,6;17,7;18,6;19,4;20,5;26,1;21,5;22,4;23,9;24,4;2283;2258;2278;2272;2311;2346;2358;2364;2368;2371;2381;2388;2276;2298;2264;2253;2244;2272;2298;2380;2386;2374;2393;2379;2363;2358;2349;2373;14;13;10;21;21;21;26;23;35;42;73;122;43;67;24;25,9;27,8;29,2;30,4;32,8;33,9;34,4;36,1;37,5;39;40,4;44;45,5;45,1;45,8;46;46,3;46,9;47,2;47,5;47,9;48,3;48,3;48,4;48,5;49,15;49,18
20;Alt Olvenstedt;3945;4111;4262;4278;4199;4151;4103;4073;4034;4006;3974;3954;3938;3933;25,7;25,3;24,2;23,4;22,3;22;23;23;23,4;24,2;24,2;24;25,3;25,2;1941;2010;2088;2100;2061;2047;2033;2013;2005;2019;1983;1968;1963;1970;2004;2101;2174;2178;2138;2104;2070;2060;2029;1987;1991;1986;1975;1963;25;15;22;21;14;20;25;28;31;34;32;29;31;35;17,2;17,3;17,6;19,2;20;21,6;22,6;23,5;24,1;25,2;27,1;28,7;30,3;31,2;40,5;40,6;40,8;41,6;42,2;43;43,5;44,2;44,8;44,8;45,4;45,9;46,09;46,29
22;Neu Olvenstedt;14257;13488;12733;12017;11741;11345;10855;10700;10519;10486;10556;10858;11207;11521;23,5;21,7;19,7;18,8;19;19,4;18,9;19,1;19,5;21,2;23;24,4;26,6;28,7;7042;6649;6259;5911;5802;5587;5379;5305;5207;5165;5206;5361;5560;5780;7215;6839;6474;6106;5939;5758;5476;5395;5312;5321;5350;5497;5647;5741;345;282;269;252;237;228;221;218;236;255;275;499;868;1152;22,4;23,5;24,2;25,1;25,4;26,4;26,7;27,4;28,7;29,4;30,1;30,4;30,8;32;41,6;42,1;42,9;43,7;43,8;44,3;45;45,5;46,1;45,5;45,3;45;44,38;43,92
