Stadtbezirk,Deutsch2017,Ausländer2017,Deutsch2016,Ausländer2016,Deutsch2013,Ausländer2013,Deutsch2012,Ausländer2012,Wahlberechtigte2017,WählerInnen2017,UngültigeZweitstimmen2017,GültigeZweitstimmen2017,AfDZweitstimmen2017,Wahlberechtigte2013,WählerInnen2013,UngültigeZweitstimmen2013,GültigeZweitstimmen2013,AfDZweitstimmen2013,2017Alter0bis2,2017Alter3bis5,2017Alter6bis17,2017Alter18bis24,2017Alter25bis34,2017Alter35bis49,2017Alter50bis64,2017Alter65bis70,2017Alter80uÄ,2013Alter0bis2,2013Alter3bis5,2013Alter6bis17,2013Alter18bis24,2013Alter25bis34,2013Alter35bis49,2013Alter50bis64,2013Alter65bis79,2013Alter80uÄ
Innenstadt-West,43702,9621,43828,9563,44023,8008,43775,7747,22014,11796,208,11588,1148,23627,11860,194,11666,401,1356,1136,4172,5773,11713,10331,9927,6215,2700,1238,1102,4123,5729,10667,11095,9259,6294,2524
Innenstadt-Nord,29035,30444,29569,30080,31106,23886,31163,22001,41632,32291,204,32087,2318,41679,30478,273,30205,1205,2349,2193,8374,7692,11065,12450,8893,4941,1522,1940,1921,7187,7182,9926,12025,8336,5103,1372
Innenstadt-Ost,48147,8207,47785,7615,47682,6555,47397,6293,38056,28707,185,28522,2114,38272,27430,283,27147,985,1624,1297,4240,4234,10901,11702,10830,7907,3619,1348,1185,3959,4221,9905,11612,10450,8082,3475
Eving,29224,9103,29378,8833,29774,7006,29756,6412,23742,15858,197,15661,2169,24250,15386,203,15183,736,1140,1051,4393,3426,5274,7868,7829,5176,2170,902,1013,4492,3328,4546,8075,7279,5246,1899
Scharnhorst,38301,7574,38586,7183,39230,4993,39461,4747,31072,20677,281,20396,3053,32048,20034,260,19774,774,1436,1503,5946,3559,5232,8751,9756,6784,2908,1144,1258,5616,3486,4856,8913,9348,7099,2503
Brackel,50266,5828,50460,5735,50515,4013,50406,3740,42599,31348,301,31047,3469,42989,29531,311,29220,1225,1503,1498,5645,3891,6517,10658,13330,9064,3988,1196,1263,5540,3998,6004,11281,12346,9587,3313
Aplerbeck,51188,4117,51379,3942,51816,3140,51896,3006,43266,33486,200,33286,2945,43600,32173,253,31920,1289,1307,1353,5788,3591,5754,10736,13140,9353,4283,1232,1269,6070,3536,5538,11920,12156,9812,3423
Hörde,47967,7551,48018,7492,47502,5808,47596,5698,40607,30669,231,30438,2726,40187,28519,280,28239,1146,1504,1337,5596,4084,7132,11013,12302,8869,3681,1188,1268,5550,3850,6344,11497,11436,9113,3064
Hombruch,51367,5687,51421,5744,51836,4700,51813,4429,43870,35169,201,34968,2682,44076,33952,297,33655,1395,1295,1256,5407,5528,7255,10366,12523,9087,4337,1139,1231,5610,5179,7104,11500,11564,9319,3890
Lütgendortmund,42435,6267,42695,5950,43557,4551,43620,4263,35852,25013,214,24799,3098,36598,23570,225,23345,984,1265,1310,5108,4309,6582,9280,11314,6765,2769,1166,1185,5216,4259,6066,10330,10583,6791,2512
Huckarde,30867,5651,30983,5504,31365,4343,31423,4255,25193,16939,156,16783,2339,25756,16332,237,16095,707,1109,1064,4263,3143,4730,7206,8005,4741,2257,870,936,4360,3183,4374,7540,7544,4911,1990
Mengede,32630,6601,32933,6474,33596,4653,33794,4321,26713,17978,214,17764,2646,27565,17269,231,17038,784,1174,1153,4821,3259,4844,7641,8779,5431,2129,921,1013,4804,3333,4454,8124,8370,5361,1869
