Stadtbezirk,2017Deutsch,2017Ausländer,2016Deutsch,2016Ausländer,2013Deutsch,2013Ausländer,2017Wahlberechtigte,2017Wähler/-innen,2017UngültigeErststimmen,2017GültigeErststimmen,2017AfDErststimmen,2017UngültigeZweitstimmen,2017GültigeZweitstimmen,2017AfDZweitstimmen,2013Wahlberechtigte,2013Wähler/-innen,2013UngültigeErststimmen,2013GültigeErststimmen,2013AfDErststimmen,2013UngültigeZweitstimmen,2013GültigeZweitstimmen,2013AfDZweitstimmen,20170bis2,20172bis5,20176bis17,201718bis24,21725bis34,201735bis49,201750bis64,201765bis70,201780uÄ,20130bis2,20132bis5,20136bis17,201318bis24,201325bis34,201335bis49,201350bis64,201365bis70,201380uÄ
Innenstadt-West,43702,9621,43828,9563,44023,8008,22014,11796,372,11424,1175,208,11588,1148,"23,627","11,860",242,"11,618",0,194,"11,666",401,"1,356","1,136","4,172","5,773","11,713","10,331","9,927","6,215","2,700","1,238","1,102","4,123","5,729","10,667","11,095","9,259","6,294","2,524"
Innenstadt-Nord,29035,30444,29569,30080,31106,23886,41632,32291,256,32035,2227,204,32087,2318,"41,679","30,478",289,"30,189","1,048",273,"30,205","1,205","2,349","2,193","8,374","7,692","11,065","12,450","8,893","4,941","1,522","1,940","1,921","7,187","7,182","9,926","12,025","8,336","5,103","1,372"
Innenstadt-Ost,48147,8207,47785,7615,47682,6555,38056,28707,232,28475,2016,185,28522,2114,"38,272","27,430",300,"27,130",841,283,"27,147",985,"1,624","1,297","4,240","4,234","10,901","11,702","10,830","7,907","3,619","1,348","1,185","3,959","4,221","9,905","11,612","10,450","8,082","3,475"
Eving,29224,9103,29378,8833,29774,7006,23742,15858,309,15549,2172,197,15661,2169,"24,250","15,386",238,"15,148",0,203,"15,183",736,"1,140","1,051","4,393","3,426","5,274","7,868","7,829","5,176","2,170",902,"1,013","4,492","3,328","4,546","8,075","7,279","5,246","1,899"
Scharnhorst,38301,7574,38586,7183,39230,4993,31072,20677,305,20372,2995,281,20396,3053,"32,048","20,034",298,"19,736",0,260,"19,774",774,"1,436","1,503","5,946","3,559","5,232","8,751","9,756","6,784","2,908","1,144","1,258","5,616","3,486","4,856","8,913","9,348","7,099","2,503"
Brackel,50266,5828,50460,5735,50515,4013,42599,31348,380,30968,3398,301,31047,3469,"42,989","29,531",348,"29,183",0,311,"29,220","1,225","1,503","1,498","5,645","3,891","6,517","10,658","13,330","9,064","3,988","1,196","1,263","5,540","3,998","6,004","11,281","12,346","9,587","3,313"
Aplerbeck,51188,4117,51379,3942,51816,3140,43266,33486,265,33221,2766,200,33286,2945,"43,600","32,173",338,"31,835",0,253,"31,920","1,289","1,307","1,353","5,788","3,591","5,754","10,736","13,140","9,353","4,283","1,232","1,269","6,070","3,536","5,538","11,920","12,156","9,812","3,423"
Hörde,47967,7551,48018,7492,47502,5808,40607,30669,314,30355,2568,231,30438,2726,"40,187","28,519",386,"28,133",0,280,"28,239","1,146","1,504","1,337","5,596","4,084","7,132","11,013","12,302","8,869","3,681","1,188","1,268","5,550","3,850","6,344","11,497","11,436","9,113","3,064"
Hombruch,51367,5687,51421,5744,51836,4700,43870,35169,269,34900,2494,201,34968,2682,"44,076","33,952",301,"33,651","1,155",297,"33,655","1,395","1,295","1,256","5,407","5,528","7,255","10,366","12,523","9,087","4,337","1,139","1,231","5,610","5,179","7,104","11,500","11,564","9,319","3,890"
Lütgendortmund,42435,6267,42695,5950,43557,4551,35852,25013,304,24709,2993,214,24799,3098,"36,598","23,570",243,"23,327",842,225,"23,345",984,"1,265","1,310","5,108","4,309","6,582","9,280","11,314","6,765","2,769","1,166","1,185","5,216","4,259","6,066","10,330","10,583","6,791","2,512"
Huckarde,30867,5651,30983,5504,31365,4343,25193,16939,231,16708,2299,156,16783,2339,"25,756","16,332",212,"16,120",622,237,"16,095",707,"1,109","1,064","4,263","3,143","4,730","7,206","8,005","4,741","2,257",870,936,"4,360","3,183","4,374","7,540","7,544","4,911","1,990"
Mengede,32630,6601,32933,6474,33596,4653,26713,17978,279,17699,2615,214,17764,2646,"27,565","17,269",217,"17,052",680,231,"17,038",784,"1,174","1,153","4,821","3,259","4,844","7,641","8,779","5,431","2,129",921,"1,013","4,804","3,333","4,454","8,124","8,370","5,361","1,869"
