RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6025;915;1029;3085;530;466;2204;4112;399;793;241;144;363;972;735;762;343;;;;;;;;
2010102;12831;2314;1831;5839;1208;1639;3913;8582;607;1242;405;396;541;3051;1534;776;1042;;;;;;;;
2010103;15351;2785;2028;7097;1408;2033;5162;10327;530;1166;421;354;184;5836;753;741;1293;;;;;;;;
2010104;5031;974;708;2365;463;521;1604;3273;252;388;68;64;21;1639;434;286;441;;;;;;;;
2020201;278;42;25;171;27;13;69;124;23;45;22;0;6;22;0;48;3;;;;;;;;
2020202;5650;713;677;3154;606;500;1312;2158;492;728;141;136;93;441;200;393;167;;;;;;;;
2020203;10169;1223;992;5829;1123;1002;2180;3717;972;1330;235;272;85;710;292;749;279;;;;;;;;
2020204;11894;1405;1238;7040;1182;1029;2763;4496;1139;1584;288;288;168;990;258;915;293;;;;;;;;
2020205;14827;1889;1418;8764;1544;1212;3367;5598;1455;1870;245;233;117;1528;297;1084;469;;;;;;;;
2020206;18748;2608;1833;11037;1782;1488;4858;8038;1786;2590;411;412;162;2131;934;1252;557;;;;;;;;
2030301;9295;1313;1140;5226;802;814;3606;5877;780;1025;94;103;29;3318;224;555;623;;;;;;;;
2030302;13222;1837;1389;7566;1226;1204;4325;7057;1216;1579;157;201;96;3309;330;903;639;;;;;;;;
2030401;14933;1830;1389;9301;1285;1128;4304;6765;1610;2173;262;248;96;2250;356;1158;484;;;;;;;;
2030402;11312;1381;1097;7162;918;754;3734;5461;1346;1811;241;132;94;2077;117;811;419;;;;;;;;
