RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;25947;4309;3926;12945;2133;2634;9780;15137;1382;4386;1188;1240;644;4392;1512;1865;1098;;;;;;;;
1033102;11586;1803;1660;6002;925;1196;4304;6813;620;1802;438;510;274;2331;668;665;563;;;;;;;;
1033201;12885;2519;1733;5802;1181;1650;3842;8300;470;1132;385;328;527;3302;1331;743;937;;;;;;;;
1033202;9697;1473;1031;4401;990;1802;2511;5187;371;1059;457;233;404;1850;498;540;603;;;;;;;;
1033203;13891;2241;2029;7018;1162;1441;5131;8440;745;2120;665;586;429;2485;1157;1018;645;;;;;;;;
1044101;19903;2311;2470;9942;2196;2984;5504;8802;1013;2950;953;532;400;2233;675;1342;670;;;;;;;;
1044102;15792;1670;1604;6844;1862;3812;3282;5502;563;1925;836;371;225;1278;530;718;455;;;;;;;;
1044103;8076;865;1086;4572;775;778;2517;3890;536;1266;345;189;238;828;377;709;283;;;;;;;;
1044201;23103;3701;3639;11561;1829;2373;9649;15194;1338;3864;1047;1233;561;4478;1971;1869;1218;;;;;;;;
1044202;16636;1906;2735;9509;1360;1126;6435;9301;1199;2936;828;463;363;1624;1189;2122;604;;;;;;;;
1044203;15985;2055;2103;8126;1511;2190;5913;8962;970;2780;841;576;301;2642;839;1228;596;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
