RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
2010101;6647;945;1021;3482;600;599;2860;4717;-;-;-;-;-;-;-;-;-;;;;;;;;
2010102;13433;2319;1777;6309;1269;1759;4455;9128;-;-;-;-;-;-;-;-;-;;;;;;;;
2010103;15380;2666;1970;7183;1549;2012;5424;10703;-;-;-;-;-;-;-;-;-;;;;;;;;
2010104;5015;836;638;2349;583;609;1652;3249;-;-;-;-;-;-;-;-;-;;;;;;;;
2020201;976;167;75;620;56;58;298;498;-;-;-;-;-;-;-;-;-;;;;;;;;
2020202;5998;863;661;3179;693;602;1665;2564;578;874;125;73;87;410;388;565;167;;;;;;;;
2020203;10920;1451;900;6137;1296;1136;2617;4215;1240;1746;258;150;108;574;373;1047;217;;;;;;;;
2020204;12564;1576;1187;7118;1468;1215;3339;5258;1276;2020;349;219;207;889;431;1205;287;;;;;;;;
2020205;15003;1782;1601;8096;1961;1563;3705;6053;1563;2118;206;167;133;1298;338;1513;486;;;;;;;;
2020206;19041;2690;1677;10718;2137;1819;5221;8669;2121;3043;372;244;239;1942;1005;1702;494;;;;;;;;
2030301;9040;1200;976;4946;959;959;3402;5679;741;994;96;111;65;2975;266;631;637;;;;;;;;
2030302;13131;1749;1335;7218;1457;1372;4310;7062;1283;1741;128;124;94;2975;494;1039;595;;;;;;;;
2030401;15264;1981;1356;9049;1543;1335;4835;7390;1780;2401;269;204;137;2127;553;1525;443;;;;;;;;
2030402;11118;1369;1012;6754;1104;879;3623;5548;1383;1871;216;79;148;1818;183;1044;405;;;;;;;;
