RaumID;EinwohnerGesamt;Alterunter15;Alter15-25;Alter25-55;Alter55-65;Alter65+;AusländerGesamt;AllEinwMigra;EU15;EU27;HK_Polen;HK_EhemJug;HK_EhemSU;HK_Turk;HK_Arab;HK_übr;HK_nzOrt;SGB II - Empfänger;;;;;;;
1033101;26841;4471;3909;13569;2226;2666;10951;16504;1671;4769;1079;1283;669;4340;2261;2139;1043;;;;;;;;
1033102;11837;1861;1676;6134;932;1234;4509;7182;721;1910;490;508;254;2367;859;775;509;;;;;;;;
1033201;13361;2599;1697;6164;1255;1646;4184;8873;516;1470;410;372;545;3339;1479;824;844;;;;;;;;
1033202;9726;1550;992;4379;996;1809;2555;5343;379;1069;432;231;427;1820;600;626;570;;;;;;;;
1033203;14478;2347;2060;7373;1208;1490;5643;9098;934;2404;598;524;485;2431;1411;1253;590;;;;;;;;
1044101;20722;2471;2397;10434;2347;3073;6290;9735;1168;3484;1002;608;407;2122;987;1462;665;;;;;;;;
1044102;16238;1781;1557;7223;1921;3756;3673;6159;667;2043;836;473;250;1425;662;816;490;;;;;;;;
1044103;8589;1011;1153;4799;826;800;3091;4451;615;1469;321;150;221;772;709;864;266;;;;;;;;
1044201;23424;3594;3500;12098;1880;2352;10049;15744;1544;4241;1006;1081;560;4419;2192;2186;1065;;;;;;;;
1044202;16703;1951;2465;9730;1416;1141;6645;9539;1304;3069;800;442;369;1596;1394;2180;489;;;;;;;;
1044203;16462;2135;1986;8552;1560;2229;6435;9510;1087;3188;793;524;355;2520;957;1394;572;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
