ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
200712;01011101;01;01;11;01;1;1177;676;501;6;9;3;6;0;0;3;7;0;6;9;9;49;151;98;170;163;111;83;76;51;64;27;12;15;7;12;21;3;3;3;0;6;18;25;9;200;752;103;55;9
200712;01011102;01;01;11;02;1;32;22;10;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;3;3;3;6;3;0;0;3;0;4;0;0;0;0;0;0;0;0;0;0;0;7;18;3;4;0
200712;01011103;01;01;11;03;1;1436;729;707;0;3;7;9;9;9;0;28;28;15;18;30;54;70;63;114;162;144;119;140;123;76;39;22;21;28;57;18;21;9;0;0;0;28;98;30;124;865;137;124;30
200712;01011104;01;01;11;04;1;1508;804;704;10;4;14;19;0;3;12;28;22;25;4;57;59;165;104;127;165;170;143;101;57;65;34;17;9;21;33;15;15;6;0;4;10;37;94;57;224;867;116;78;25
200712;01011105;01;01;11;05;1;295;166;129;3;4;0;0;0;0;0;6;3;3;4;9;6;24;16;30;21;39;31;18;22;28;9;3;3;0;4;3;3;3;0;0;3;4;16;9;30;177;40;10;6
200712;01011201;01;01;12;01;1;637;363;274;0;6;3;10;0;9;7;0;12;21;3;15;9;33;15;50;65;72;66;45;59;40;28;12;7;13;21;6;7;0;0;3;0;19;52;15;42;372;80;47;10
200712;01011202;01;01;12;02;1;93;46;47;5;3;0;0;0;3;0;0;0;0;0;0;0;0;0;15;21;9;6;12;7;0;9;0;0;0;0;3;0;0;0;0;5;3;3;0;0;70;9;3;0
200712;01011203;01;01;12;03;1;412;216;196;0;0;3;3;0;0;4;13;6;3;0;15;15;27;22;12;39;33;50;39;34;33;16;6;6;15;9;6;3;0;0;0;0;6;26;15;42;229;55;36;3
200712;01011204;01;01;12;04;1;1212;629;583;3;0;9;13;3;9;6;10;6;18;6;13;39;85;69;99;142;154;82;107;98;84;58;15;22;25;18;10;9;0;0;0;3;25;55;13;124;751;157;75;9
200712;01011301;01;01;13;01;1;884;468;416;10;0;3;3;3;3;3;13;7;3;0;15;17;67;61;103;161;127;89;70;48;36;6;3;6;9;12;3;0;3;0;0;10;9;29;15;84;659;45;30;3
200712;01011302;01;01;13;02;1;2079;1033;1046;9;6;3;16;6;6;9;16;18;15;18;40;57;203;147;244;375;311;220;128;81;54;33;9;9;13;18;15;0;0;0;0;9;31;82;40;260;1506;96;55;0
200712;01011303;01;01;13;03;1;1396;713;683;6;6;3;9;7;12;3;12;13;18;15;40;28;137;101;142;235;194;134;89;70;48;18;10;0;10;12;9;15;0;0;0;6;25;73;40;165;965;76;31;15
200712;01011304;01;01;13;04;1;1080;510;570;3;6;3;15;9;9;21;25;33;33;6;44;34;105;39;79;119;124;109;80;68;27;12;9;6;10;15;19;18;0;0;0;3;33;127;44;139;618;48;50;18
200712;01011305;01;01;13;05;1;871;470;401;6;4;4;13;0;3;0;22;18;16;3;21;22;75;54;80;126;87;70;83;56;27;28;6;6;19;16;3;0;3;0;0;6;21;62;21;97;556;61;44;3
200712;01011306;01;01;13;06;1;1223;686;537;4;3;12;21;6;0;3;16;16;17;3;43;69;128;75;118;184;160;111;64;55;42;9;13;9;15;18;0;9;0;0;0;4;42;55;43;197;767;64;42;9
