"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"201312";"01011101";"01";"01";"11";"01";"1";1060,00;586,00;474,00;0,00;3,00;6,00;9,00;3,00;3,00;0,00;12,00;6,00;3,00;3,00;13,00;63,00;172,00;70,00;109,00;131,00;104,00;83,00;52,00;52,00;47,00;31,00;15,00;17,00;10,00;12,00;13,00;15,00;3,00;0,00;0,00;0,00;21,00;27,00;13,00;235,00;601,00;93,00;52,00;18,00
"201312";"01011102";"01";"01";"11";"02";"1";44,00;22,00;22,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;7,00;6,00;9,00;13,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;38,00;0,00;0,00;0,00
"201312";"01011103";"01";"01";"11";"03";"1";1589,00;885,00;704,00;6,00;6,00;6,00;15,00;13,00;9,00;6,00;22,00;16,00;24,00;14,00;25,00;82,00;158,00;72,00;115,00;189,00;146,00;145,00;142,00;91,00;103,00;30,00;28,00;25,00;22,00;36,00;22,00;12,00;3,00;6,00;0,00;6,00;40,00;91,00;25,00;240,00;900,00;161,00;105,00;21,00
"201312";"01011104";"01";"01";"11";"04";"1";1474,00;776,00;698,00;6,00;3,00;3,00;6,00;14,00;0,00;7,00;0,00;10,00;10,00;9,00;15,00;96,00;185,00;137,00;158,00;181,00;164,00;109,00;102,00;98,00;38,00;12,00;9,00;19,00;22,00;15,00;22,00;17,00;7,00;0,00;0,00;6,00;26,00;36,00;15,00;281,00;949,00;59,00;78,00;24,00
"201312";"01011105";"01";"01";"11";"05";"1";417,00;231,00;186,00;0,00;3,00;13,00;10,00;0,00;0,00;3,00;6,00;6,00;7,00;0,00;15,00;12,00;24,00;23,00;30,00;58,00;28,00;39,00;40,00;29,00;31,00;17,00;7,00;0,00;3,00;3,00;7,00;3,00;0,00;0,00;0,00;0,00;26,00;22,00;15,00;36,00;247,00;55,00;13,00;3,00
"201312";"01011201";"01";"01";"12";"01";"1";604,00;332,00;272,00;0,00;0,00;3,00;7,00;0,00;0,00;0,00;7,00;3,00;15,00;0,00;9,00;22,00;50,00;29,00;53,00;73,00;49,00;66,00;57,00;49,00;38,00;7,00;6,00;6,00;19,00;18,00;12,00;6,00;0,00;0,00;0,00;0,00;10,00;25,00;9,00;72,00;376,00;51,00;55,00;6,00
"201312";"01011202";"01";"01";"12";"02";"1";150,00;75,00;75,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;6,00;9,00;13,00;15,00;18,00;22,00;12,00;13,00;3,00;12,00;6,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;6,00;3,00;3,00;15,00;96,00;18,00;3,00;6,00
"201312";"01011203";"01";"01";"12";"03";"1";328,00;179,00;149,00;3,00;6,00;3,00;3,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;6,00;10,00;28,00;19,00;19,00;33,00;40,00;38,00;40,00;24,00;25,00;9,00;6,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;12,00;7,00;6,00;38,00;213,00;40,00;6,00;3,00
"201312";"01011204";"01";"01";"12";"04";"1";1330,00;669,00;661,00;0,00;10,00;9,00;0,00;3,00;12,00;3,00;10,00;19,00;6,00;3,00;17,00;44,00;93,00;59,00;138,00;190,00;139,00;138,00;108,00;96,00;76,00;40,00;27,00;26,00;22,00;16,00;14,00;6,00;3,00;3,00;0,00;0,00;22,00;53,00;17,00;137,00;868,00;143,00;78,00;12,00
"201312";"01011301";"01";"01";"13";"01";"1";1212,00;603,00;609,00;4,00;6,00;12,00;14,00;6,00;4,00;6,00;12,00;9,00;6,00;3,00;3,00;19,00;98,00;65,00;165,00;224,00;178,00;138,00;68,00;53,00;33,00;25,00;26,00;9,00;3,00;14,00;9,00;0,00;0,00;0,00;0,00;4,00;38,00;40,00;3,00;117,00;891,00;84,00;35,00;0,00
