ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;HK_EU15;HK_EU27;HK_Polen;HK_EheJug;HK_EheSU;HK_Turk;HK_Arab;HK_Sonst;HK_NZOrd
200912;01011101;01;01;11;01;1;1360;179;351;103;63;231;46;147;440;82
200912;01011102;01;01;11;02;1;39;18;24;3;3;0;0;3;6;3
200912;01011103;01;01;11;03;1;2335;326;633;204;136;371;310;227;533;125
200912;01011104;01;01;11;04;1;2322;190;410;129;135;262;503;405;400;207
200912;01011105;01;01;11;05;1;412;57;102;24;0;63;20;40;164;23
200912;01011201;01;01;12;01;1;868;92;219;9;23;285;27;80;206;28
200912;01011202;01;01;12;02;1;121;39;42;0;3;21;0;0;52;3
200912;01011203;01;01;12;03;1;374;46;95;21;12;194;6;6;58;3
200912;01011204;01;01;12;04;1;1846;228;599;91;76;381;66;192;461;71
200912;01011301;01;01;13;01;1;1264;412;567;72;33;139;27;37;422;39
200912;01011302;01;01;13;02;1;3302;1134;1493;133;97;266;161;105;1094;86
200912;01011303;01;01;13;03;1;2281;489;778;120;90;301;82;119;852;59
200912;01011304;01;01;13;04;1;2093;197;441;59;114;285;194;188;791;80
200912;01011305;01;01;13;05;1;1323;164;384;69;61;191;150;92;411;34
200912;01011306;01;01;13;06;1;2074;221;496;124;89;197;460;100;548;184
200912;01011401;01;01;14;01;1;3547;1266;1694;190;111;291;115;82;1177;77
200912;01011402;01;01;14;02;1;2735;1098;1405;115;60;199;72;61;865;73
200912;01022101;01;02;21;01;1;1259;115;421;248;109;52;174;236;190;77
200912;01022102;01;02;21;02;1;3124;317;785;355;339;153;712;410;537;188
200912;01022103;01;02;21;03;1;87;6;6;0;0;9;46;9;10;7
200912;01022104;01;02;21;04;1;7339;692;1709;727;724;422;1717;821;1401;545
200912;01022105;01;02;21;05;1;2451;215;475;167;255;169;568;443;360;181
200912;01022106;01;02;21;06;1;3231;491;966;324;231;302;451;285;727;269
200912;01022201;01;02;22;01;1;4438;481;990;357;347;224;1286;421;804;366
200912;01022202;01;02;22;02;1;879;39;81;25;15;60;402;106;118;97
200912;01022203;01;02;22;03;1;3584;240;598;286;255;199;1237;519;417;359
200912;01022204;01;02;22;04;1;1781;272;517;176;92;147;321;191;396;117
200912;01022205;01;02;22;05;1;1583;128;340;161;100;265;290;205;248;135
200912;01022206;01;02;22;06;1;996;165;315;110;35;120;182;75;200;69
200912;01022207;01;02;22;07;1;2429;550;843;195;96;238;145;162;840;105
200912;01033101;01;03;31;01;1;12549;671;2558;1373;1320;595;4560;1277;1421;818
