ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;MH_E;MH_EM;MH_EW;MH_E00_01;MH_E01_02;MH_E02_03;MH_E03_05;MH_E05_06;MH_E06_07;MH_E07_08;MH_E08_10;MH_E10_12;MH_E12_14;MH_E14_15;MH_E15_18;MH_E18_21;MH_E21_25;MH_E25_27;MH_E27_30;MH_E30_35;MH_E35_40;MH_E40_45;MH_E45_50;MH_E50_55;MH_E55_60;MH_E60_63;MH_E63_65;MH_E65_67;MH_E67_70;MH_E70_75;MH_E75_80;MH_E80_85;MH_E85_90;MH_E90_95;MH_E95_110;MH_U1;MH_1U6;MH_6U15;MH_15U18;MH_18U25;MH_25U55;MH_55U65;MH_65U80;MH_80U110
201012;01011101;01;01;11;01;1;1132;625;507;3;15;22;16;6;3;15;19;9;20;3;22;28;67;49;72;140;101;105;74;78;69;46;33;10;25;35;27;13;7;0;0;3;59;69;22;95;619;148;97;20
201012;01011102;01;01;11;02;1;30;18;12;0;0;0;0;3;0;0;0;0;0;3;0;3;0;0;6;3;0;6;3;3;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;3;21;0;0;0
201012;01011103;01;01;11;03;1;2467;1279;1188;42;54;25;62;25;46;28;57;67;64;30;77;91;180;96;129;195;209;176;173;158;161;56;47;48;30;58;34;26;13;10;0;42;166;292;77;271;1136;264;170;49
201012;01011104;01;01;11;04;1;2302;1180;1122;33;29;28;67;46;35;27;70;70;55;30;113;114;204;125;182;227;166;137;162;112;73;70;31;16;22;21;21;10;6;0;0;33;170;287;113;318;1111;174;80;16
201012;01011105;01;01;11;05;1;355;183;172;0;0;4;9;3;3;3;3;6;9;3;6;7;12;3;35;43;30;31;47;41;33;12;0;0;0;3;6;3;0;0;0;0;16;27;6;19;230;45;9;3
201012;01011201;01;01;12;01;1;876;470;406;3;15;15;27;12;6;10;21;21;15;7;33;22;40;30;50;59;100;73;79;58;77;24;18;12;12;22;15;0;0;0;0;3;69;80;33;62;449;119;61;0
201012;01011202;01;01;12;02;1;130;66;64;9;3;0;3;0;3;0;6;3;0;0;0;3;3;6;3;24;16;15;3;6;12;0;0;3;6;0;3;0;0;0;0;9;6;12;0;6;73;12;12;0
201012;01011203;01;01;12;03;1;311;141;170;0;6;3;3;0;9;0;10;6;6;3;7;3;19;18;22;36;33;18;27;15;21;13;6;3;6;6;6;6;0;0;0;0;12;34;7;22;169;40;21;6
201012;01011204;01;01;12;04;1;1777;905;872;19;9;28;63;28;30;25;30;27;25;19;43;42;113;70;116;212;175;168;124;100;95;45;36;21;26;31;27;24;6;0;0;19;128;156;43;155;965;176;105;30
201012;01011301;01;01;13;01;1;1288;668;620;21;17;19;34;16;6;12;18;21;3;9;12;25;83;70;120;247;170;110;99;59;37;23;18;6;12;9;9;0;3;0;0;21;86;69;12;108;875;78;36;3
201012;01011302;01;01;13;02;1;3350;1638;1712;45;55;55;112;33;57;50;77;67;54;27;55;71;246;200;326;497;451;328;221;118;73;39;21;15;12;18;12;0;9;3;3;45;255;332;55;317;2141;133;57;15
201012;01011303;01;01;13;03;1;2399;1218;1181;31;41;50;58;22;33;25;33;45;21;21;42;80;219;144;209;329;277;206;171;94;91;24;12;15;21;41;25;19;0;0;0;31;171;178;42;299;1430;127;102;19
201012;01011304;01;01;13;04;1;2117;1033;1084;33;37;37;73;27;26;52;48;74;70;25;81;79;131;83;124;216;178;177;147;99;74;36;18;21;27;42;27;31;24;0;0;33;174;295;81;210;1024;128;117;55
201012;01011305;01;01;13;05;1;1416;735;681;18;22;21;37;26;22;12;35;39;34;12;36;38;125;71;111;153;138;111;100;55;45;21;24;18;9;44;27;0;9;0;3;18;106;154;36;163;739;90;98;12
