"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"MH_EM";"MH_EW";"MH_E00_01";"MH_E01_02";"MH_E02_03";"MH_E03_05";"MH_E05_06";"MH_E06_07";"MH_E07_08";"MH_E08_10";"MH_E10_12";"MH_E12_14";"MH_E14_15";"MH_E15_18";"MH_E18_21";"MH_E21_25";"MH_E25_27";"MH_E27_30";"MH_E30_35";"MH_E35_40";"MH_E40_45";"MH_E45_50";"MH_E50_55";"MH_E55_60";"MH_E60_63";"MH_E63_65";"MH_E65_67";"MH_E67_70";"MH_E70_75";"MH_E75_80";"MH_E80_85";"MH_E85_90";"MH_E90_95";"MH_E95_110";"MH_U1";"MH_1U6";"MH_6U15";"MH_15U18";"MH_18U25";"MH_25U55";"MH_55U65";"MH_65U80";"MH_80U110"
"201212";"01011101";"01";"01";"11";"01";"1";1439,00;755,00;684,00;15,00;18,00;6,00;31,00;9,00;3,00;3,00;24,00;10,00;18,00;9,00;13,00;69,00;177,00;83,00;94,00;150,00;121,00;120,00;75,00;77,00;89,00;60,00;28,00;28,00;9,00;46,00;27,00;24,00;3,00;0,00;0,00;15,00;64,00;67,00;13,00;246,00;720,00;177,00;110,00;27,00
"201212";"01011102";"01";"01";"11";"02";"1";50,00;28,00;22,00;0,00;3,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;3,00;12,00;6,00;6,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;4,00;3,00;6,00;34,00;0,00;0,00;0,00
"201212";"01011103";"01";"01";"11";"03";"1";2606,00;1383,00;1223,00;33,00;34,00;15,00;58,00;31,00;47,00;23,00;65,00;65,00;72,00;32,00;86,00;91,00;182,00;102,00;146,00;275,00;209,00;197,00;195,00;171,00;143,00;58,00;36,00;40,00;69,00;54,00;36,00;28,00;13,00;0,00;0,00;33,00;138,00;304,00;86,00;273,00;1295,00;237,00;199,00;41,00
"201212";"01011104";"01";"01";"11";"04";"1";2493,00;1292,00;1201,00;39,00;30,00;31,00;67,00;43,00;25,00;33,00;52,00;64,00;75,00;28,00;85,00;124,00;239,00;151,00;200,00;256,00;211,00;158,00;168,00;129,00;80,00;49,00;39,00;22,00;15,00;24,00;30,00;17,00;9,00;0,00;0,00;39,00;171,00;277,00;85,00;363,00;1273,00;168,00;91,00;26,00
"201212";"01011105";"01";"01";"11";"05";"1";501,00;276,00;225,00;3,00;3,00;9,00;3,00;6,00;3,00;0,00;15,00;9,00;7,00;6,00;10,00;13,00;17,00;17,00;43,00;65,00;33,00;52,00;45,00;58,00;30,00;15,00;9,00;3,00;9,00;6,00;3,00;6,00;0,00;3,00;0,00;3,00;21,00;40,00;10,00;30,00;313,00;54,00;21,00;9,00
"201212";"01011201";"01";"01";"12";"01";"1";963,00;508,00;455,00;15,00;9,00;9,00;19,00;13,00;15,00;21,00;12,00;32,00;27,00;3,00;44,00;28,00;98,00;18,00;62,00;71,00;102,00;76,00;61,00;57,00;58,00;36,00;15,00;12,00;13,00;19,00;12,00;3,00;3,00;0,00;0,00;15,00;50,00;110,00;44,00;126,00;447,00;109,00;56,00;6,00
"201212";"01011202";"01";"01";"12";"02";"1";168,00;85,00;83,00;4,00;0,00;3,00;0,00;3,00;6,00;0,00;0,00;6,00;3,00;4,00;0,00;0,00;9,00;6,00;6,00;24,00;24,00;15,00;10,00;21,00;12,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;4,00;6,00;19,00;0,00;9,00;106,00;15,00;6,00;3,00
"201212";"01011203";"01";"01";"12";"03";"1";375,00;193,00;182,00;6,00;9,00;3,00;6,00;0,00;3,00;0,00;6,00;3,00;6,00;6,00;15,00;13,00;19,00;18,00;26,00;43,00;35,00;36,00;29,00;27,00;15,00;9,00;3,00;15,00;9,00;6,00;3,00;3,00;3,00;0,00;0,00;6,00;18,00;24,00;15,00;32,00;214,00;27,00;33,00;6,00
"201212";"01011204";"01";"01";"12";"04";"1";2055,00;1003,00;1052,00;16,00;24,00;22,00;45,00;39,00;18,00;18,00;52,00;37,00;28,00;15,00;38,00;55,00;121,00;106,00;158,00;226,00;188,00;195,00;148,00;130,00;127,00;37,00;34,00;44,00;36,00;34,00;31,00;18,00;9,00;6,00;0,00;16,00;130,00;168,00;38,00;176,00;1151,00;198,00;145,00;33,00
"201212";"01011301";"01";"01";"13";"01";"1";1577,00;805,00;772,00;28,00;21,00;24,00;37,00;21,00;21,00;15,00;18,00;15,00;18,00;3,00;21,00;32,00;115,00;79,00;166,00;276,00;195,00;147,00;92,00;70,00;59,00;23,00;16,00;15,00;19,00;15,00;3,00;7,00;6,00;0,00;0,00;28,00;103,00;90,00;21,00;147,00;1025,00;98,00;52,00;13,00
"201212";"01011302";"01";"01";"13";"02";"1";3791,00;1857,00;1934,00;47,00;61,00;46,00;109,00;54,00;48,00;42,00;110,00;72,00;62,00;31,00;70,00;72,00;293,00;201,00;371,00;576,00;483,00;365,00;295,00;148,00;80,00;58,00;16,00;21,00;15,00;36,00;3,00;3,00;0,00;3,00;0,00;47,00;270,00;365,00;70,00;365,00;2439,00;154,00;75,00;6,00
"201212";"01011303";"01";"01";"13";"03";"1";2664,00;1360,00;1304,00;40,00;36,00;42,00;61,00;28,00;25,00;27,00;48,00;24,00;45,00;15,00;37,00;84,00;248,00;179,00;243,00;367,00;292,00;240,00;185,00;118,00;106,00;51,00;12,00;12,00;15,00;35,00;24,00;19,00;3,00;3,00;0,00;40,00;167,00;184,00;37,00;332,00;1624,00;169,00;86,00;25,00
"201212";"01011304";"01";"01";"13";"04";"1";2410,00;1163,00;1247,00;37,00;43,00;45,00;68,00;30,00;34,00;31,00;81,00;60,00;78,00;25,00;88,00;88,00;178,00;115,00;161,00;218,00;210,00;197,00;150,00;134,00;84,00;21,00;27,00;33,00;39,00;60,00;21,00;21,00;24,00;9,00;0,00;37,00;186,00;309,00;88,00;266,00;1185,00;132,00;153,00;54,00
"201212";"01011305";"01";"01";"13";"05";"1";1666,00;878,00;788,00;22,00;34,00;21,00;37,00;22,00;21,00;21,00;27,00;36,00;40,00;18,00;46,00;24,00;105,00;106,00;129,00;223,00;172,00;148,00;108,00;88,00;38,00;34,00;13,00;10,00;25,00;43,00;31,00;21,00;0,00;3,00;0,00;22,00;114,00;163,00;46,00;129,00;974,00;85,00;109,00;24,00
"201212";"01011306";"01";"01";"13";"06";"1";2430,00;1226,00;1204,00;42,00;42,00;43,00;68,00;25,00;40,00;30,00;50,00;53,00;56,00;22,00;45,00;99,00;173,00;99,00;221,00;326,00;256,00;202,00;161,00;128,00;82,00;42,00;22,00;18,00;18,00;32,00;20,00;12,00;0,00;3,00;0,00;42,00;178,00;251,00;45,00;272,00;1393,00;146,00;88,00;15,00
"201212";"01011401";"01";"01";"14";"01";"1";4162,00;2061,00;2101,00;63,00;67,00;49,00;119,00;52,00;47,00;59,00;98,00;88,00;45,00;31,00;45,00;62,00;304,00;254,00;457,00;736,00;563,00;391,00;251,00;147,00;72,00;31,00;24,00;9,00;36,00;31,00;15,00;7,00;6,00;0,00;3,00;63,00;287,00;368,00;45,00;366,00;2799,00;127,00;91,00;16,00
"201212";"01011402";"01";"01";"14";"02";"1";3537,00;1774,00;1763,00;63,00;79,00;80,00;113,00;49,00;50,00;24,00;56,00;33,00;42,00;0,00;41,00;44,00;213,00;266,00;459,00;669,00;471,00;350,00;176,00;79,00;77,00;27,00;15,00;9,00;19,00;12,00;18,00;0,00;3,00;0,00;0,00;63,00;321,00;205,00;41,00;257,00;2470,00;119,00;58,00;3,00
"201212";"01022101";"01";"02";"21";"01";"1";1442,00;821,00;621,00;9,00;27,00;23,00;30,00;15,00;9,00;13,00;31,00;30,00;31,00;19,00;48,00;43,00;108,00;73,00;136,00;171,00;134,00;106,00;109,00;88,00;61,00;27,00;16,00;17,00;22,00;34,00;9,00;3,00;0,00;0,00;0,00;9,00;95,00;133,00;48,00;151,00;817,00;104,00;82,00;3,00
"201212";"01022102";"01";"02";"21";"02";"1";3191,00;1701,00;1490,00;43,00;63,00;21,00;82,00;45,00;40,00;50,00;70,00;72,00;65,00;37,00;84,00;136,00;220,00;151,00;236,00;350,00;294,00;243,00;239,00;164,00;143,00;87,00;46,00;67,00;39,00;44,00;47,00;7,00;0,00;6,00;0,00;43,00;211,00;334,00;84,00;356,00;1677,00;276,00;197,00;13,00
"201212";"01022103";"01";"02";"21";"03";"1";138,00;74,00;64,00;0,00;0,00;7,00;6,00;3,00;0,00;4,00;9,00;3,00;0,00;3,00;3,00;9,00;6,00;6,00;12,00;13,00;21,00;0,00;12,00;3,00;9,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;16,00;19,00;3,00;15,00;67,00;12,00;6,00;0,00
"201212";"01022104";"01";"02";"21";"04";"1";7668,00;3970,00;3698,00;83,00;143,00;106,00;206,00;96,00;91,00;94,00;170,00;133,00;146,00;71,00;262,00;230,00;546,00;355,00;521,00;824,00;686,00;602,00;571,00;450,00;366,00;184,00;127,00;130,00;147,00;174,00;84,00;43,00;21,00;3,00;3,00;83,00;551,00;705,00;262,00;776,00;4009,00;677,00;535,00;70,00
"201212";"01022105";"01";"02";"21";"05";"1";2649,00;1413,00;1236,00;32,00;28,00;35,00;78,00;27,00;33,00;34,00;76,00;76,00;76,00;33,00;122,00;82,00;214,00;117,00;193,00;268,00;228,00;205,00;177,00;137,00;89,00;75,00;53,00;26,00;33,00;48,00;39,00;12,00;0,00;3,00;0,00;32,00;168,00;328,00;122,00;296,00;1325,00;217,00;146,00;15,00
