"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"MH_E";"HK_EU15";"HK_EU27";"HK_Polen";"HK_EheJug";"HK_EheSU";"HK_Turk";"HK_Arab";"HK_Sonst";"HK_NZOrd"
"201212";"01011101";"01";"01";"11";"01";"1";1439,00;261,00;434,00;81,00;69,00;249,00;62,00;152,00;394,00;79,00
"201212";"01011102";"01";"01";"11";"02";"1";50,00;3,00;24,00;15,00;0,00;0,00;3,00;7,00;16,00;0,00
"201212";"01011103";"01";"01";"11";"03";"1";2606,00;366,00;678,00;194,00;192,00;403,00;312,00;273,00;602,00;146,00
"201212";"01011104";"01";"01";"11";"04";"1";2493,00;260,00;545,00;164,00;86,00;251,00;461,00;417,00;520,00;213,00
"201212";"01011105";"01";"01";"11";"05";"1";501,00;125,00;168,00;27,00;3,00;103,00;18,00;44,00;147,00;18,00
"201212";"01011201";"01";"01";"12";"01";"1";963,00;125,00;267,00;24,00;10,00;264,00;34,00;120,00;230,00;38,00
"201212";"01011202";"01";"01";"12";"02";"1";168,00;55,00;67,00;9,00;6,00;15,00;3,00;0,00;77,00;0,00
"201212";"01011203";"01";"01";"12";"03";"1";375,00;70,00;146,00;30,00;6,00;120,00;4,00;10,00;80,00;9,00
"201212";"01011204";"01";"01";"12";"04";"1";2055,00;324,00;766,00;104,00;62,00;447,00;62,00;188,00;441,00;89,00
"201212";"01011301";"01";"01";"13";"01";"1";1577,00;516,00;732,00;93,00;49,00;206,00;46,00;55,00;428,00;61,00
"201212";"01011302";"01";"01";"13";"02";"1";3791,00;1355,00;1753,00;165,00;120,00;294,00;160,00;97,00;1272,00;95,00
"201212";"01011303";"01";"01";"13";"03";"1";2664,00;668,00;988,00;125,00;95,00;324,00;74,00;119,00;999,00;65,00
"201212";"01011304";"01";"01";"13";"04";"1";2410,00;264,00;538,00;80,00;148,00;302,00;224,00;161,00;928,00;109,00
"201212";"01011305";"01";"01";"13";"05";"1";1666,00;269,00;531,00;85,00;72,00;230,00;169,00;126,00;487,00;51,00
"201212";"01011306";"01";"01";"13";"06";"1";2430,00;356,00;714,00;187,00;107,00;218,00;469,00;132,00;605,00;185,00
"201212";"01011401";"01";"01";"14";"01";"1";4162,00;1682,00;2238,00;246,00;95,00;311,00;103,00;79,00;1244,00;92,00
"201212";"01011402";"01";"01";"14";"02";"1";3537,00;1469,00;1828,00;159,00;83,00;268,00;60,00;79,00;1130,00;89,00
"201212";"01022101";"01";"02";"21";"01";"1";1442,00;142,00;537,00;272,00;120,00;80,00;145,00;281,00;194,00;85,00
"201212";"01022102";"01";"02";"21";"02";"1";3191,00;378,00;925,00;352,00;337,00;150,00;627,00;383,00;577,00;192,00
"201212";"01022103";"01";"02";"21";"03";"1";138,00;6,00;19,00;6,00;0,00;3,00;39,00;17,00;53,00;7,00
"201212";"01022104";"01";"02";"21";"04";"1";7668,00;969,00;2112,00;745,00;632,00;461,00;1625,00;829,00;1459,00;550,00
"201212";"01022105";"01";"02";"21";"05";"1";2649,00;274,00;667,00;225,00;220,00;176,00;550,00;450,00;401,00;185,00
"201212";"01022106";"01";"02";"21";"06";"1";3405,00;552,00;1059,00;303,00;215,00;323,00;477,00;303,00;760,00;268,00
"201212";"01022201";"01";"02";"22";"01";"1";4524,00;617,00;1181,00;364,00;301,00;247,00;1183,00;394,00;852,00;366,00
"201212";"01022202";"01";"02";"22";"02";"1";929,00;58,00;111,00;28,00;19,00;46,00;402,00;118,00;125,00;108,00
"201212";"01022203";"01";"02";"22";"03";"1";3850,00;304,00;671,00;243,00;416,00;259,00;1157,00;548,00;435,00;364,00
"201212";"01022204";"01";"02";"22";"04";"1";1982,00;334,00;691,00;204,00;73,00;193,00;323,00;163,00;423,00;116,00
"201212";"01022205";"01";"02";"22";"05";"1";1713,00;111,00;370,00;180,00;135,00;271,00;319,00;251,00;232,00;135,00
"201212";"01022206";"01";"02";"22";"06";"1";1124,00;205,00;417,00;132,00;40,00;115,00;167,00;75,00;214,00;96,00
"201212";"01022207";"01";"02";"22";"07";"1";2123,00;383,00;706,00;195,00;77,00;228,00;110,00;156,00;723,00;123,00
"201212";"01033101";"01";"03";"31";"01";"1";14056,00;1032,00;3478,00;1220,00;1411,00;619,00;4526,00;1358,00;1685,00;979,00
"201212";"01033102";"01";"03";"31";"02";"1";6298,00;455,00;1322,00;401,00;576,00;212,00;2457,00;602,00;604,00;525,00
"201212";"01033201";"01";"03";"32";"01";"1";8357,00;409,00;1061,00;437,00;391,00;598,00;3421,00;1310,00;759,00;817,00
"201212";"01033202";"01";"03";"32";"02";"1";5162,00;364,00;955,00;472,00;272,00;412,00;1969,00;438,00;551,00;565,00
"201212";"01033203";"01";"03";"32";"03";"1";7966,00;587,00;1636,00;657,00;753,00;394,00;2642,00;952,00;1012,00;577,00
"201212";"01044101";"01";"04";"41";"01";"1";8227,00;815,00;2385,00;936,00;723,00;395,00;2246,00;591,00;1273,00;614,00
"201212";"01044102";"01";"04";"41";"02";"1";5007,00;489,00;1621,00;797,00;491,00;208,00;1273,00;337,00;656,00;421,00
"201212";"01044103";"01";"04";"41";"03";"1";3590,00;408,00;967,00;334,00;256,00;255,00;865,00;330,00;662,00;255,00
"201212";"01044201";"01";"04";"42";"01";"1";14713,00;1109,00;3252,00;1002,00;1457,00;596,00;4832,00;1749,00;1743,00;1084,00
"201212";"01044202";"01";"04";"42";"02";"1";8758,00;989,00;2420,00;822,00;516,00;295,00;1783,00;1057,00;2190,00;497,00
"201212";"01044203";"01";"04";"42";"03";"1";8518,00;754,00;2302,00;831,00;683,00;237,00;2843,00;738,00;1176,00;539,00
"201212";"02010101";"02";"01";"01";"01";"1";4112,00;399,00;793,00;241,00;144,00;363,00;972,00;735,00;762,00;343,00
"201212";"02010102";"02";"01";"01";"02";"1";8582,00;607,00;1242,00;405,00;396,00;541,00;3051,00;1534,00;776,00;1042,00
"201212";"02010103";"02";"01";"01";"03";"1";10327,00;530,00;1166,00;421,00;354,00;184,00;5836,00;753,00;741,00;1293,00
"201212";"02010104";"02";"01";"01";"04";"1";3273,00;252,00;388,00;68,00;64,00;21,00;1639,00;434,00;286,00;441,00
"201212";"02020201";"02";"02";"02";"01";"1";124,00;23,00;45,00;22,00;0,00;6,00;22,00;0,00;48,00;3,00
"201212";"02020202";"02";"02";"02";"02";"1";2158,00;492,00;728,00;141,00;136,00;93,00;441,00;200,00;393,00;167,00
"201212";"02020203";"02";"02";"02";"03";"1";3717,00;972,00;1330,00;235,00;272,00;85,00;710,00;292,00;749,00;279,00
"201212";"02020204";"02";"02";"02";"04";"1";4496,00;1139,00;1584,00;288,00;288,00;168,00;990,00;258,00;915,00;293,00
"201212";"02020205";"02";"02";"02";"05";"1";5598,00;1455,00;1870,00;245,00;233,00;117,00;1528,00;297,00;1084,00;469,00
"201212";"02020206";"02";"02";"02";"06";"1";8038,00;1786,00;2590,00;411,00;412,00;162,00;2131,00;934,00;1252,00;557,00
"201212";"02030301";"02";"03";"03";"01";"1";5877,00;780,00;1025,00;94,00;103,00;29,00;3318,00;224,00;555,00;623,00
"201212";"02030302";"02";"03";"03";"02";"1";7057,00;1216,00;1579,00;157,00;201,00;96,00;3309,00;330,00;903,00;639,00
"201212";"02030401";"02";"03";"04";"01";"1";6765,00;1610,00;2173,00;262,00;248,00;96,00;2250,00;356,00;1158,00;484,00
"201212";"02030402";"02";"03";"04";"02";"1";5461,00;1346,00;1811,00;241,00;132,00;94,00;2077,00;117,00;811,00;419,00
"201212";"02040501";"02";"04";"05";"01";"1";1076,00;111,00;271,00;40,00;45,00;176,00;18,00;92,00;443,00;31,00
"201212";"02040502";"02";"04";"05";"02";"1";1397,00;235,00;452,00;104,00;62,00;185,00;40,00;58,00;543,00;57,00
"201212";"02040503";"02";"04";"05";"03";"1";1858,00;602,00;891,00;154,00;79,00;130,00;72,00;52,00;559,00;75,00
"201212";"02040701";"02";"04";"07";"01";"1";3567,00;422,00;888,00;197,00;284,00;588,00;218,00;195,00;1278,00;116,00
"201212";"02040702";"02";"04";"07";"02";"1";1852,00;652,00;945,00;133,00;27,00;162,00;76,00;28,00;564,00;50,00
"201212";"02040703";"02";"04";"07";"03";"1";299,00;48,00;131,00;47,00;18,00;16,00;33,00;9,00;86,00;6,00
"201212";"02050601";"02";"05";"06";"01";"1";1739,00;624,00;853,00;124,00;68,00;103,00;50,00;50,00;573,00;42,00
