Jahr;Ewgesamt;EWunter30;EW30bis60;EWueber60;HHgesamt;1PHHgesamt;1PHHunter30;1PHH30bis60;1PHHueber60
2007;192121;63659;79496;48966;102003;49692;11660;21157;16875
2008;191959;63925;78989;49045;102384;50656;12451;22425;15780
2009;192241;64397;78687;49157;102867;50467;12355;21226;16886
2010;193112;64838;79028;49246;103884;51726;12782;21735;17209
2011;194109;65179;79448;49482;102343;50814;12782;22026;16006
2012;195422;65787;80114;49521;103825;52210;13238;22628;16344
2013;196758;66270;80826;49662;105889;54076;14165;23223;16688
2014;197092;66596;80572;49924;106459;54653;14341;23392;16920
2015;200507;68790;81453;50264;108082;56145;14918;24173;17054
2016;201907;69862;81458;50587;108913;56541;15110;23939;17492
2017;204021;70873;82160;50988;109533;56669;14920;23991;17758
