Jahr ,Ewgesamt,EWunter30,EW30bis60,EWueber60,HHgesamt,1PHHgesamt,1PHHunter30,1PHH30bis60,1PHHueber60,,0007 Einwohner im Alter von 18 bis 19 J.,0007 Einwohner im Alter von 20 bis 24 J.,0007 Einwohner im Alter von 25 bis 29 J.,0007 Einwohner im Alter von 30 bis 34 J.,0007 Einwohner im Alter von 35 bis 39 J.,0007 Einwohner im Alter von 40 bis 44 J.,0007 Einwohner im Alter von 45 bis 49 J.,0007 Einwohner im Alter von 50 bis 54 J.,0007 Einwohner im Alter von 55 bis 59 J.,0007 Einwohner im Alter von 60 bis 64 J.,0007 Einwohner im Alter von 65 bis 69 J.,0007 Einwohner im Alter von 70 bis 74 J.,0007 Einwohner im Alter von 75 bis 79 J.,0007 Einwohner im Alter von 80 bis 84 J.,0007 Einwohner im Alter von 85 J. und älter
2007,192121,33107,79496,48966,102003,49692,11660,21157,16875,,4312,14188,14607,12428,13466,15351,14176,12528,11547,10178,11349,8998,6883,6041,5517
2008,191959,33763,78989,49045,102384,50656,12451,22425,15780,,4324,14518,14921,12361,12661,15109,14606,12788,11464,10252,11045,9636,6553,5962,5597
2009,192241,34449,78687,49157,102867,50467,12355,21226,16886,,4262,14967,15220,12442,12085,14669,14943,13102,11446,10315,10652,10097,6596,5820,5677
2010,193112,35124,79028,49246,103884,51726,12782,21735,17209,,4185,15494,15445,12845,11641,14244,15226,13445,11627,10712,9740,10387,6874,5658,5875
2011,194109,35400,79448,49482,102343,50814,12782,22026,16006,,4161,15683,15556,13315,11428,13768,15336,13751,11850,10964,9297,10477,7351,5466,5927
2012,195422,35958,80114,49521,103825,52210,13238,22628,16344,,3976,15716,16266,13772,11582,13252,15203,14120,12185,10917,9378,10215,7789,5287,5935
2013,196758,36471,80826,49662,105889,54076,14165,23223,16688,,4142,15470,16859,14322,11805,12597,15112,14533,12457,10850,9505,9959,8354,5114,5880
2014,197092,36726,80572,49924,106459,54653,14341,23392,16920,,4181,15195,17350,14388,11830,11994,14747,14859,12754,10889,9563,9645,8777,5143,5907
2015,200507,38426,81453,50264,108082,56145,14918,24173,17054,,4544,15608,18274,14757,12389,11755,14356,15105,13091,11060,9936,8872,9054,5432,5910
2016,201907,38726,81458,50587,108913,56541,15110,23939,17492,,4565,15824,18337,14832,12677,11495,13856,15191,13407,11315,10134,8439,9115,5810,5774
2017,204021,39396,82160,50988,109533,56669,14920,23991,17758,,4575,16266,18555,15372,12957,11558,13308,15207,13758,11633,10144,8529,8894,6211,5577
