,Bezirk,Einwohner,Einwohner 0-18,Einwohner 18-65,Einwohner 65+,ue65_rel,u65_rel,verh_ue65_zu_u65
0,Babelsberg Nord,11016,2294,7188,1534,0.04898767324519384,0.07426727446465216,0.02527960121945832
1,Babelsberg Süd,11377,1672,7770,1935,0.06179344702050201,0.073953976533985,0.012160529513482989
2,Berliner Vorstadt,2415,406,1464,545,0.01740435587915948,0.014646678258690102,0.002757677620469379
3,Bornim,2747,483,1816,448,0.014306699878648528,0.01800679856509548,0.0037000986864469503
4,Bornstedt,9169,1972,5767,1430,0.045666475059079004,0.06061531713583032,0.014948842076751317
5,Brandenburger Vorstadt,11457,1817,7077,2563,0.08184837452896468,0.06966179488384479,0.012186579645119891
6,Drewitz,7221,1273,4794,1154,0.03685252602669732,0.047519463633942695,0.010666937607245373
7,Eiche,4538,799,3090,649,0.020725554065274317,0.030460391309115403,0.009734837243841086
8,Fahrland,3719,649,2601,469,0.014977326435460177,0.025455456866707395,0.010478130431247217
9,Golm,2627,421,1884,322,0.01028294053777863,0.01805379325469555,0.007770852716916922
10,Groß Glienicke,4116,867,2487,762,0.024334163632879862,0.02627003148644203,0.0019358678535621697
11,Grube,423,90,268,65,0.002075748866321773,0.002804016479471153,0.0007282676131493801
12,Innenstadt,19573,2458,12472,4643,0.1482723382512614,0.11693845262152043,0.03133388562974097
13,Jägervorstadt,2391,443,1625,323,0.01031487513572204,0.01619750301549258,0.005882627879770541
14,Kirchsteigfeld,5069,934,3392,743,0.023727406271955034,0.03388317120165421,0.010155764929699176
15,Klein Glienicke,550,139,355,56,0.001788337484831066,0.003869229443739524,0.002080891958908458
16,Marquardt,1150,188,794,168,0.005365012454493198,0.007691464197878973,0.002326451743385775
17,Nauener Vorstadt,4292,849,2663,780,0.024908986395861275,0.027507558312577344,0.0025985719167160685
18,Nedlitz,178,33,103,42,0.0013412531136232995,0.001065212964268371,0.00027604014935492856
19,Neu Fahrland,1467,260,934,273,0.008718145238551446,0.009351943230414963,0.0006337979918635168
20,Potsdam West,7122,1064,4245,1813,0.05789742607140576,0.04158246784779986,0.016314958223605895
21,Sacrow,153,18,104,31,0.0009899725362457687,0.0009555586885348623,3.441384771090642e-05
22,Satzkorn,443,53,329,61,0.0019480104745481254,0.0029919952378714538,0.0010439847633233283
23,Schlaatz,8999,1254,6718,1027,0.03279683208788401,0.062440277581966575,0.029643445494082564
24,Stern,16165,2058,9986,4121,0.13160247812480041,0.09433400692388427,0.03726847120091614
25,Teltower Vorstadt,3859,429,2459,971,0.03100849460305295,0.022620110594169525,0.008388384008883424
26,Templiner Vorstadt,1257,166,759,332,0.010602286517212749,0.007245014646678259,0.00335727187053449
27,Uetz/Paaren,425,77,293,55,0.001756402886887654,0.0028980058586713033,0.0011416029717836492
28,Waldstadt 1,5490,443,2824,2223,0.07099061122820463,0.02558860848724094,0.04540200274096369
29,Waldstadt 2,9580,1314,6490,1776,0.056715845947499524,0.061124426273164466,0.004408580325664942
